id,question
0,What is Dr. Michael Anderson's experience with hip surgeries?
0,What types of hip replacement prostheses does Dr. Anderson use?
0,Are there any reported complications from patients who have undergone surgery with Dr. Anderson?
0,What is the location of Dr. Michael Anderson's practice?
0,How can I contact Dr. Anderson's office for more information?
1,What is Dr. Neil Bergman's experience in performing hip surgeries?
1,Can you provide details about the types of prostheses used by Dr. Bergman during hip replacement surgeries?
1,Is there a record of any patient-reported complications from surgeries conducted by Dr. Bergman?
1,What kind of anesthesia does Dr. Bergman typically use for hip surgeries?
1,Does Dr. Bergman accept foreign patients for consultations and surgeries?
2,What is Dr. Roger Brighton's specialty area in orthopedics?
2,Where is Dr. Roger Brighton's practice located?
2,What type of hip replacement prosthesis does Dr. Roger Brighton use?
2,What kind of patient-reported outcomes does Dr. Roger Brighton have?
2,What is the contact phone number for Dr. Roger Brighton's office?
3,What is Dr. Roderick Brooks' location and contact information?
3,Can you provide details about the type of hip replacement prosthesis Dr. Brooks uses?
3,Are there any reported positive outcomes or complications from Dr. Brooks' surgeries?
3,What is Dr. Brooks' operational technique when performing hip surgeries?
3,Is there a specific anesthetic used by Dr. Brooks during hip operations?
4,What type of hip replacement prosthesis does Dr. Rodney E. Dalziel use?
4,"Is Dr. Dalziel located in Melbourne, and what is the address of his practice?"
4,"Can you provide Dr. Dalziel's contact information, including phone number and email?"
4,Have there been any reported complications from patients treated by Dr. Dalziel?
4,What is the average size and location for the hip replacements performed by Dr. Dalziel?
5,What type of hip replacement prosthesis does Dr. Anthony J. Dunin use?
5,Can you provide the address of Dr. Anthony J. Dunin's practice in Melbourne?
5,What is the contact phone number for Dr. Dunin's clinic?
5,Has Dr. Dunin reported any patient complications in his surgeries?
5,Is Dr. Dunin's clinic open to foreign patients?
6,What is Dr. Daniel Fick's experience with hip replacement surgeries in Nedlands?
6,Can you provide details on the types of prostheses Dr. Fick uses for hip replacements?
6,What are the patient-reported outcomes for surgeries performed by Dr. Fick?
6,Does Dr. Fick have any specific operational techniques unique to his practice?
6,How can I contact Dr. Fick's office for an appointment or consultation?
7,What type of hip replacement prosthesis does Dr. Lawrence Kohan use for surgeries?
7,Can you provide the contact details for Dr. Lawrence Kohan's clinic in Sydney?
7,Are there any patient-reported positive outcomes associated with Dr. Kohan's surgeries?
